objectid,catalog number,unit_quad,area,ctx,mat class 1,mat type 1,mat class 2,mat type 2,object name,object description,manufacture 1,item count,portion represented,date start,date end,comments,most representative photo,for website,display_template,object_location,image_small,image_thumb
23-00029,23-00029,UNIT 10,COURTYARD,3,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,1,BODY,,,,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0029.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0029.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0029.1e_th.jpg
23-00030,23-00030,UNIT 10,COURTYARD,3,CERAMIC,EARTHENWARE COARSE,,,HOLLOWARE,HOLLOWARE,,1,BODY,,,BRISTOL GLAZE ON EXTERIOR AND ALBANY ON INTERIOR,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0030.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0030.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0030.1e_th.jpg
23-00053,23-00053,QUAD 10,DOWNHILL,SURFACE,GLASS,GLASS,,,BOTTLE,BOTTLE SODA,SEMI-AUTOMATIC/MACHINE MOLDED (OWEN’S SCAR),1,FINISH,,,"IT PROBABALY HAD COKE WRITTEN, NOT COCA COLA",E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0053.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0053.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0053.1e_th.jpg
23-00079,23-00079,QUAD 8,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,METAL,,TOOL,SCREWDRIVER,,1,HANDLE,,,CLEAR YELLOW SCREWDRIVER HANDLE BADLY SCUFFED,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0079.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0079.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0079.1e_th.jpg
23-00108,23-00108,AREA 7,,SURFACE,SYNTHETIC,PLASTIC MISC,,,WRAPPER,WRAPPER,,1,BODY,,,PART OF GOLDFISH CRACKERS BAG,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0108.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0108.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0108.1a_th.jpg
23-00115,23-00115,AREA 10,,SURFACE,ORGANIC,WOOD,METAL,,PENCIL,PENCIL WOOD,,1,WHOLE/ENTIRE/COMPLETE,,,DIXON WOODEN PENCIL WITH FADED YELLOW PAINT AND GREEN WORDS,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0115.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0115.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0115.1a_th.jpg
23-00116,23-00116,AREA 10,,SURFACE,ORGANIC,WOOD,METAL,,PENCIL,PENCIL WOOD,,1,WHOLE/ENTIRE/COMPLETE,,,SANFORD WOODEN PENCIL WITH YELLOW PAINT AND BLACK WORDS.,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0116.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0116.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0116.1a_th.jpg
23-00120,23-00120,QUAD 8,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,RECORD,RECORD VINYL,,1,BODY,,,WARPED SECTION OF VINYL RECORD,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0120.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0120.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0120.1e_th.jpg
23-00122,23-00122,QUAD 8,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,EYE GLASSES,EYE GLASSES FRAME,,1,BODY,,,BLACK PLASTIC FAKE GLASSES FRAME WITH MOON AND STARS DECORATION MISSING ARMS,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0122.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0122.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0122.1e_th.jpg
23-00127,23-00127,QUAD 6,DOWNHILL,SURFACE,GLASS,GLASS,,,BOTTLE,BOTTLE SODA,AT LEAST 2 PART MOLD,2,BODY,,,"SPIRALLED RIBS, PEPSI IS RED IN WHITE CIRCLE",A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0127.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0127.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0127.1a_th.jpg
23-00155,23-00155,QUAD 11,DOWNHILL,SURFACE,GLASS,GLASS,,,BOTTLE,BOTTLE SODA,AT LEAST 2 PART MOLD,1,NECK,,,LABEL SAYS ONE PINT AND CONTAINS PARTS OF THE RED AND BLUE PESI LOGO,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0155.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0155.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0155.1a_th.jpg
23-00308,23-00308,UNIT 13,COURTYARD,6,CERAMIC,WHITEWARE,,,TABLEWARE,TABLEWARE,,2,BODY,,,,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0308.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0308.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0308.1g_th.jpg
23-00358,23-00358,QUAD 1 ,DOWNHILL,SURFACE,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,1,BASE,,,SOME SCRATCHING AND DARK TINTING ON BASE,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0358.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0358.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0358.1g_th.jpg
23-00359,23-00359,QUAD 12,DOWNHILL,SURFACE,CERAMIC,EARTHENWARE COARSE,,,HOLLOWARE,HOLLOWARE,,2,RIM,,,MOST LIKELY A STUDENT ART PROJECT,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0359.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0359.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0359.1g_th.jpg
23-00491,23-00491,AREA 7,,SURFACE,SYNTHETIC,RUBBER VULCANIZED,,,TOY,TOY RUBBER DUCK,,11,WHOLE/ENTIRE/COMPLETE,,,11 RUBBER DUCKS WITH PAINTED BLACK EYES AND ORANGE BEAKS,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0491.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0491.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0491.1g_th.jpg
23-00503,23-00503,AREA 6,,SURFACE,ORGANIC,WOOD,METAL,METAL UNIDENTIFIED,PENCIL,PENCIL WOOD,,1,BODY,,,'HB'' YELLOW PAINT AND YELLOW AND GREEN FERRULE,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0503.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0503.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0503.1a_th.jpg
23-00504,23-00504,AREA 6,,SURFACE,ORGANIC,WOOD,METAL,METAL UNIDENTIFIED,PENCIL,PENCIL WOOD,,1,BODY,,,"WHITE ERASER, GREEN AND YELLOW FERRULE, UNPAINTED",A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0504.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0504.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0504.1a_th.jpg
23-00505,23-00505,AREA 6,,SURFACE,ORGANIC,WOOD,MINERAL,GRAPHITE,PENCIL,PENCIL WOOD,,1,BODY,,,'EMPIRE'',A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0505.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0505.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0505.1a_th.jpg
23-00506,23-00506,AREA 10,,SURFACE,ORGANIC,LEATHER,,,GLOVE,GLOVE WORK,,1,BODY,,,"RUST SPOTS, TAG INSIDE ''L'' IN RED",A,,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0506.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0506.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0506.1a_th.jpg
23-00507,23-00507,QUAD 13,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,METAL,METAL UNIDENTIFIED,PEN,CLIP PEN/PENCIL,,1,WHOLE/ENTIRE/COMPLETE,,,'LEGAL COPY FINE PT 474 F WI NDY'' RUSTED CLIP,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0507.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0507.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0507.1a_th.jpg
23-00508,23-00508,QUAD 13,DOWNHILL,SURFACE,ORGANIC,BONE,,,BUTTON,BUTTON COAT,,1,WHOLE/ENTIRE/COMPLETE,,,"POINTED EGG SHAPE, SMALL HOLE FOR THREAD",A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0508.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0508.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0508.1a_th.jpg
23-00509,23-00509,QUAD 13,DOWNHILL,SURFACE,SYNTHETIC,RUBBER HARD,,,SHOE,SHOE SOLE,,1,SOLE,,,"BROWN, SIZE 11 ''VI'' ''M''",A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0509.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0509.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0509.1a_th.jpg
23-00545,23-00545,QUAD 11,DOWNHILL,SURFACE,CERAMIC,WHITEWARE,,,CERAMIC UNIDENTIFIED,CERAMIC UNIDENTIFIED,,5,UNKNOWN,,,HANDMADE DECOR TYPE ITEM,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0545.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0545.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0545.1g_th.jpg
23-00574,23-00574,UNIT 22,DOWNHILL,9,CERAMIC,PORCELAIN,,,BUTTON,BUTTON,PROSSER MOLD,1,WHOLE/ENTIRE/COMPLETE,,,~22 LINES POSSIBLE SHIRT BUTTON,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0574.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0574.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0574.1a_th.jpg
23-00684,23-00684,QUAD 1 ,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,TOY,TOY,,1,WHOLE/ENTIRE/COMPLETE,,,BLUE MONKEY TOY NAMED NYLE PART OF THE DISNEY WHISKER HAVEN PALACE PETS COLLECTION COMPLETE BUT MISSING ORANGE TAIL POSSIBLY MANUFACTURED BWTEEN 2015 AND 2017,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0684.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0684.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0684.1e_th.jpg
23-00690,23-00690,AREA 10,,SURFACE,METAL,IRON,,,BUCKLE,BUCKLE BELT,CAST,1,WHOLE/ENTIRE/COMPLETE,,,,F,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0690.1f.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0690.1f_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0690.1f_th.jpg
23-00718,23-00718,UNIT 20,DOWNHILL,3,SYNTHETIC,BAKELITE,,,SYRINGE,PLUNGER,,1,HANDLE,,,BAKELITE SYRINGE PLUNGER,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0718.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0718.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0718.1a_th.jpg
23-00738,23-00738,UNIT 22,DOWNHILL,6,SYNTHETIC,PLASTIC MISC,,,MOUTHPIECE,CIGARETTE HOLDER,,3,WHOLE/ENTIRE/COMPLETE,,,DISPOSABLE CIGARETTE MOUTHPIECE FILTER CANNOT FIND EXACT PLASTIC TYPE,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0738.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0738.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0738.1g_th.jpg
23-00744,23-00744,UNIT 22,DOWNHILL,6,SYNTHETIC,POLYETHYLENE,,,INSULATOR,CORD ELECTRICAL,,1,BODY,,,ELECTRICAL WIRE INSULATOR,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0744.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0744.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0744.1a_th.jpg
23-00754,23-00754,UNIT 22,DOWNHILL,6,SYNTHETIC,NYLON,,,TWINE,TWINE,,1,WHOLE/ENTIRE/COMPLETE,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0754.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0754.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0754.1a_th.jpg
23-00763,23-00763,UNIT 22,DOWNHILL,9,SYNTHETIC,GRAPHITE,,,LEAD,PENCIL GRAPHITE/LEAD,,2,BODY,,,,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0763.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0763.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0763.1g_th.jpg
23-00768,23-00768,UNIT 22,DOWNHILL,11,ORGANIC,SHELL,,,BUTTON,BUTTON,,1,WHOLE/ENTIRE/COMPLETE,,,TWO HOLE SHELL BUTTON 22-24 LINES,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0768.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0768.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0768.1e_th.jpg
23-00772,23-00772,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,TOY,TOY ACTION FIGURE,,1,BODY,,,HE-MAN ACTION FIGURE LEG,C,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0772.1c.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0772.1c_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0772.1c_th.jpg
23-00774,23-00774,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,ZIP TIE,ZIP TIE,,2,BODY,,,,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0774.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0774.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0774.1g_th.jpg
23-00775,23-00775,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,NYLON,,,LINE,WEED TRIMMER LINE,,3,BODY,,,,G,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0775.1g.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0775.1g_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0775.1g_th.jpg
23-00781,23-00781,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,CAP/LID,CAP BOTTLE,,1,BODY,,,"UNDERSIDE OF CAP NOTES ""SUPPORT EDUCATION TRY AGAIN""",A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0781.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0781.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0781.1a_th.jpg
23-00784,23-00784,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,GAMING PIECE,GAMING PIECE,,1,WHOLE/ENTIRE/COMPLETE,,,"BLACK CHECKERS GAMING PIECE ONE SIDE DISPLAYS EAGLE CREST HOLDING ARROWS AND LEAF WITH STAR ABOVE HEAD, OTHER SIDE DISPLAYS A FIVE-POINTED STAR WITH A CIRCLE BETWEEN EACH POINT",E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0784.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0784.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0784.1e_th.jpg
23-00789,23-00789,QUAD 10,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,CAP/LID,CAP BOTTLE,,1,LID/CAP,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0789.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0789.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0789.1a_th.jpg
23-00909,23-00909,UNIT 10,COURTYARD,2,METAL,IRON,SYNTHETIC,PLASTIC MISC,TOY,TOY CAR,,1,UNKNOWN,,,Has 1 complete tire and a tire frgament plus white endcaps,C,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0909.1c.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0909.1c_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0909.1c_th.jpg
23-00931,23-00931,AREA 9,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,PEN,PEN BALLPOINT,,1,BODY,,,,B,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0931.1b.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0931.1b_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0931.1b_th.jpg
23-00932,23-00932,AREA 9,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,PENCIL,PENCIL MECHANICAL,,1,BODY,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0932.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0932.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0932.1a_th.jpg
23-00933,23-00933,AREA 9,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,PENCIL,PENCIL MECHANICAL,,1,BODY,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0933.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0933.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0933.1a_th.jpg
23-00934,23-00934,AREA 9,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,PEN,CAP PEN,,1,BODY,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0934.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0934.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0934.1a_th.jpg
23-00935,23-00935,AREA 9,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,METAL UNIDENTIFIED,PEN,PEN BALLPOINT,,1,BODY,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0935.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0935.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0935.1a_th.jpg
23-00997,23-00997,QUAD 11,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,CLIP,CLIP,,3,BODY,,,BREAD CLIP,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0997.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0997.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0997.1a_th.jpg
23-01000,23-01000,QUAD 11,DOWNHILL,SURFACE,SYNTHETIC,PLASTIC MISC,,,BEAD,BEAD,,1,BODY,,,,A,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-1000.1a.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-1000.1a_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-1000.1a_th.jpg
